indice,fecha,Region,Generacion Termica actual (MU),Generacion Termica Estimada (MU),Generacion Eolica Actual (MU),Generacion Eolica Estimada (MU),Hidro Generacion Actual (MU),Hidro Generacion Estimada (MU)
1196,4/29/2018,Pacifico,1235.32,1160.84,14.07,33.22,24.4,28.79
1197,4/29/2018,Zona Sur,636.56,670.12,47.03,25.47,62.88,48.03
1198,4/29/2018,Caribe,465.25,505.86,0.00,0.00,39.12,24.52
1199,4/29/2018,Huetar Norte,30.25,32.49,0.00,0.00,7.43,7.35
1200,4/30/2018,Central y Norte,636.39,624.62,22.5,22.49,154.72,177.88
1201,4/30/2018,Pacifico,1235.32,1183.77,14.07,33.17,24.4,20.21
1202,4/30/2018,Zona Sur,636.56,672.75,47.03,25.1,62.88,50.68
1203,4/30/2018,Caribe,469.05,466.64,0.00,0.00,39.12,42.25
1204,4/30/2018,Huetar Norte,30.25,31.99,0.00,0.00,7.43,7.14
1205,5/1/2018,Central y Norte,628.57,593.17,24.66,26.01,244.89,189.84
1206,5/1/2018,Pacifico,1217.35,1176.83,14.06,33.14,23.41,14.24
1207,5/1/2018,Zona Sur,631.61,619.23,57.26,34.76,52.96,32.36
1208,5/1/2018,Caribe,469.21,460.44,0.00,0.00,46.26,38.86
1209,5/1/2018,Huetar Norte,30.13,29.9,0.00,0.00,13.75,7.04
1210,5/2/2018,Central y Norte,628.57,567.45,24.66,25.63,244.89,205.31
1211,5/2/2018,Pacifico,1216.67,1190.12,14.06,33.14,23.41,29.06
1212,5/2/2018,Zona Sur,631.61,630.54,57.26,45.38,52.96,44.65
1213,5/2/2018,Caribe,469.21,499.39,0.00,0.00,46.26,41.93
1214,5/2/2018,Huetar Norte,30.13,30.23,0.00,0.00,13.75,9.63
1215,5/3/2018,Central y Norte,628.57,492.84,24.66,23.24,244.89,212.87
1216,5/3/2018,Pacifico,1217.84,1167.90,14.06,33.12,23.41,45.75
1217,5/3/2018,Zona Sur,631.61,617.08,57.26,46.33,52.96,47.39
1218,5/3/2018,Caribe,469.21,488.75,0.00,0.00,46.26,43.22
1219,5/3/2018,Huetar Norte,30.13,31.77,0.00,0.00,13.75,10.81
1220,5/4/2018,Central y Norte,628.57,587.09,24.66,27.23,244.89,187.89
1221,5/4/2018,Pacifico,1217.84,1236.92,14.06,20.11,23.41,50.85
1222,5/4/2018,Zona Sur,631.61,600.92,57.26,46.78,52.96,49.79
1223,5/4/2018,Caribe,469.21,529.05,0.00,0.00,46.26,57.3
1224,5/4/2018,Huetar Norte,30.13,33.57,0.00,0.00,13.75,10.07
1225,5/5/2018,Central y Norte,628.94,628.96,24.66,27.15,244.89,178.99
1226,5/5/2018,Pacifico,1217.52,1241.82,14.06,20.09,23.41,56.07
1227,5/5/2018,Zona Sur,631.61,665.21,57.26,46.68,52.96,57.91
1228,5/5/2018,Caribe,469.21,542.87,0.00,0.00,46.26,59.1
1229,5/5/2018,Huetar Norte,30.13,34.38,0.00,0.00,13.75,12.04
1230,5/6/2018,Central y Norte,629.44,587.77,24.66,30.12,244.89,172.61
1231,5/6/2018,Pacifico,1221.10,1228.22,14.06,20.06,23.41,33.04
1232,5/6/2018,Zona Sur,631.61,627.44,57.26,47.11,52.96,40.55
1233,5/6/2018,Caribe,469.21,533.29,0.00,0.00,46.26,42.2
1234,5/6/2018,Huetar Norte,30.13,33.58,0.00,0.00,13.75,10.84
1235,5/7/2018,Central y Norte,629.44,647.1,24.66,30.29,244.89,168.79
1236,5/7/2018,Pacifico,1221.10,1232.29,14.06,20.05,23.41,48.31
1237,5/7/2018,Zona Sur,631.61,638.61,57.26,48.08,52.96,53.81
1238,5/7/2018,Caribe,469.21,528.5,0.00,0.00,46.26,56.69
1239,5/7/2018,Huetar Norte,30.13,34.05,0.00,0.00,13.75,12.23
1240,5/8/2018,Central y Norte,629.44,596.53,24.66,30.12,244.89,176.63
1241,5/8/2018,Pacifico,1221.10,1254.69,14.06,20.07,23.41,50.59
1242,5/8/2018,Zona Sur,631.61,634.41,57.26,47.99,52.96,44.14
1243,5/8/2018,Caribe,469.21,514.01,0.00,0.00,46.26,66.4
1244,5/8/2018,Huetar Norte,30.13,32.72,0.00,0.00,13.75,12.76
1245,5/9/2018,Central y Norte,629.28,633.71,24.66,30.09,244.89,169.16
1246,5/9/2018,Pacifico,1223.75,1275.69,14.06,20.07,23.41,51.79
1247,5/9/2018,Zona Sur,631.61,622.62,57.26,48.02,52.96,46.71
1248,5/9/2018,Caribe,470.3,518.65,0.00,0.00,46.26,61
1249,5/9/2018,Huetar Norte,30.13,31.38,0.00,0.00,13.75,13.81
1250,5/10/2018,Central y Norte,632.08,660.58,24.66,29.71,244.89,156.48
1251,5/10/2018,Pacifico,1223.75,1283.29,14.06,20.06,23.41,59.26
1252,5/10/2018,Zona Sur,631.61,644.19,42.7,47.98,52.96,49.54
1253,5/10/2018,Caribe,470.3,521.92,0.00,0.00,46.26,64.4
1254,5/10/2018,Huetar Norte,30.13,33.69,0.00,0.00,13.75,13.14
1255,5/11/2018,Central y Norte,632.92,682.4,24.66,29.83,244.89,158.59
1256,5/11/2018,Pacifico,1217.95,1301.29,14.06,20.08,23.41,23.23
1257,5/11/2018,Zona Sur,641.09,640.76,42.7,48.03,52.96,46.66
1258,5/11/2018,Caribe,470.3,514.63,0.00,0.00,46.26,57.87
1259,5/11/2018,Huetar Norte,30.13,35.33,0.00,0.00,13.75,12.35
1260,5/12/2018,Central y Norte,632.92,674.11,24.66,29.9,244.89,179.13
1261,5/12/2018,Pacifico,1217.95,1264.19,14.06,20.06,23.41,27.78
1262,5/12/2018,Zona Sur,641.09,620.25,42.7,48.02,52.96,31.37
1263,5/12/2018,Caribe,470.3,497.06,0.00,0.00,46.26,44.54
1264,5/12/2018,Huetar Norte,30.13,35.4,0.00,0.00,13.75,13.05
1265,5/13/2018,Central y Norte,632.92,622.57,24.66,29.65,244.89,184.35
1266,5/13/2018,Pacifico,1217.95,1219.35,14.06,20,23.41,30.57
1267,5/13/2018,Zona Sur,641.09,601.86,42.7,48.14,52.96,26.44
1268,5/13/2018,Caribe,470.3,476.61,0.00,0.00,46.26,40.7
1269,5/13/2018,Huetar Norte,30.13,32.91,0.00,0.00,13.75,14.64
1270,5/14/2018,Central y Norte,632.92,531.01,24.66,30.07,244.89,192.18
1271,5/14/2018,Pacifico,1217.95,1261.58,14.06,19.98,23.41,34.98
1272,5/14/2018,Zona Sur,641.09,610.52,42.7,48.08,52.96,42.41
1273,5/14/2018,Caribe,470.3,432.32,0.00,0.00,46.26,39.58
1274,5/14/2018,Huetar Norte,30.13,32.97,0.00,0.00,13.75,14.19
1275,5/15/2018,Central y Norte,636.36,632.85,24.66,29.93,244.89,185.28
1276,5/15/2018,Pacifico,1211.95,1299.81,14.06,19.98,23.41,40.73
1277,5/15/2018,Zona Sur,641.09,647.91,42.7,48.05,52.96,50.81
1278,5/15/2018,Caribe,466.59,489.72,0.00,0.00,46.26,44.36
1279,5/15/2018,Huetar Norte,30.13,29.47,0.00,0.00,13.75,13.33
1280,5/16/2018,Central y Norte,645.24,666.69,28.41,30.23,244.89,180.51
1281,5/16/2018,Pacifico,1223.20,1285.64,14.06,19.95,23.41,35.03
1282,5/16/2018,Zona Sur,641.09,654.02,42.7,48,52.96,50.89
1283,5/16/2018,Caribe,466.59,488.95,0.00,0.00,46.26,51.4
1284,5/16/2018,Huetar Norte,30.13,26.78,0.00,0.00,13.75,14.2
1285,5/17/2018,Central y Norte,645.24,688.03,28.41,33.51,244.89,189.05
1286,5/17/2018,Pacifico,1223.20,1302.29,14.06,19.94,23.41,35.73
1287,5/17/2018,Zona Sur,641.09,664.61,42.7,47.9,52.96,44.96
1288,5/17/2018,Caribe,466.59,483.58,0.00,0.00,46.26,48.78
1289,5/17/2018,Huetar Norte,30.13,28.17,0.00,0.00,13.75,14.84
1290,5/18/2018,Central y Norte,647.45,704.28,28.41,34.83,244.89,197.16
1291,5/18/2018,Pacifico,1223.20,1287.51,14.06,19.9,23.41,27.77
1292,5/18/2018,Zona Sur,641.09,647.2,42.7,46.97,52.96,54.22
1293,5/18/2018,Caribe,466.59,492.28,0.00,0.00,46.26,52.24
1294,5/18/2018,Huetar Norte,30.13,24.64,0.00,0.00,13.75,14.76
1295,5/19/2018,Central y Norte,649.43,714.48,28.41,34.79,244.89,169.72
1296,5/19/2018,Pacifico,1223.20,1299.49,14.06,19.89,23.41,48.35
1297,5/19/2018,Zona Sur,641.09,633.41,42.7,46.83,52.96,54.56
1298,5/19/2018,Caribe,466.59,480.38,0.00,0.00,46.26,55.29
1299,5/19/2018,Huetar Norte,30.13,29.24,0.00,0.00,13.75,14.46
1300,5/20/2018,Central y Norte,646.95,713.14,28.41,34.74,244.89,178.7
1301,5/20/2018,Pacifico,1223.20,1270.62,14.06,19.82,23.41,38.87
1302,5/20/2018,Zona Sur,641.09,557.74,42.7,46.85,52.96,32.71
1303,5/20/2018,Caribe,476.59,484.7,0.00,0.00,46.26,45.96
1304,5/20/2018,Huetar Norte,30.13,29.42,0.00,0.00,13.75,14.45
1305,5/21/2018,Central y Norte,646.95,728.05,28.41,34.87,244.89,190.86
1306,5/21/2018,Pacifico,1220.65,1309.83,14.06,19.76,23.41,30.43
1307,5/21/2018,Zona Sur,641.09,628.55,42.7,46.69,52.96,47.01
1308,5/21/2018,Caribe,476.59,509.25,0.00,0.00,46.26,53.83
1309,5/21/2018,Huetar Norte,30.13,29.94,0.00,0.00,13.75,13.54
1310,5/22/2018,Central y Norte,646.95,760.51,28.41,34.54,244.89,206.6
1311,5/22/2018,Pacifico,1223.44,1361.97,14.06,19.85,23.41,25.75
1312,5/22/2018,Zona Sur,637.09,660.77,42.7,47.56,52.96,48.55
1313,5/22/2018,Caribe,476.59,518.57,0.00,0.00,46.26,50.2
1314,5/22/2018,Huetar Norte,30.13,30.24,0.00,0.00,13.75,14.31
1315,5/23/2018,Central y Norte,647.32,782.5,28.41,34.52,244.89,220.91
1316,5/23/2018,Pacifico,1223.44,1331.94,14.06,19.95,23.41,34.19
1317,5/23/2018,Zona Sur,637.09,667.73,42.7,47.68,52.96,41.13
1318,5/23/2018,Caribe,476.59,513.14,0.00,0.00,46.26,55.56
1319,5/23/2018,Huetar Norte,30.13,29.26,0.00,0.00,13.75,14.73
1320,5/24/2018,Central y Norte,647.32,763.24,28.41,34.71,244.89,220.54
1321,5/24/2018,Pacifico,1223.44,1325.32,14.06,19.98,23.41,24.36
1322,5/24/2018,Zona Sur,632.48,653.06,42.7,47.94,52.96,38.16
1323,5/24/2018,Caribe,476.59,514.61,0.00,0.00,46.26,66.9
1324,5/24/2018,Huetar Norte,30.13,31.49,0.00,0.00,13.75,14.47
1325,5/25/2018,Central y Norte,647.32,737.49,28.41,30.02,244.89,222.94
1326,5/25/2018,Pacifico,1206.19,1317.08,14.06,19.98,23.41,20.28
1327,5/25/2018,Zona Sur,632.48,631.44,42.7,46.82,52.96,39.48
1328,5/25/2018,Caribe,476.59,520.6,0.00,0.00,46.26,74.99
1329,5/25/2018,Huetar Norte,30.13,34.45,0.00,0.00,13.75,17.36
1330,5/26/2018,Central y Norte,647.32,732.18,28.41,30.68,244.89,228.26
1331,5/26/2018,Pacifico,1211.36,1319.06,14.06,19.94,23.41,33.34
1332,5/26/2018,Zona Sur,632.48,640.71,42.7,41.21,52.96,54.11
1333,5/26/2018,Caribe,476.59,506.77,0.00,0.00,46.26,74.76
1334,5/26/2018,Huetar Norte,30.13,33.91,0.00,0.00,13.75,18.37
1335,5/27/2018,Central y Norte,647.32,740.48,28.41,29.88,244.89,221.04
1336,5/27/2018,Pacifico,1211.36,1276.51,14.06,27.09,23.41,27.67
1337,5/27/2018,Zona Sur,637.08,621.9,42.7,37.48,52.96,35.39
1338,5/27/2018,Caribe,476.59,510.32,0.00,0.00,46.26,78.56
1339,5/27/2018,Huetar Norte,30.13,32.44,0.00,0.00,13.75,21.78
1340,5/28/2018,Central y Norte,648.94,769.71,28.41,30.43,244.89,211.24
1341,5/28/2018,Pacifico,1211.36,1301.68,14.06,27.08,23.41,24.49
1342,5/28/2018,Zona Sur,637.08,631.68,42.7,37.84,52.96,44.06
1343,5/28/2018,Caribe,476.59,520.07,0.00,0.00,46.26,73.34
1344,5/28/2018,Huetar Norte,30.13,35.85,0.00,0.00,13.75,19.73
1345,5/29/2018,Central y Norte,648.94,770.38,28.41,33.79,244.89,204.61
1346,5/29/2018,Pacifico,1211.36,1287.80,14.06,32.61,23.41,16.81
1347,5/29/2018,Zona Sur,637.08,592.21,42.7,38.8,52.96,38
1348,5/29/2018,Caribe,476.59,493.2,0.00,0.00,46.26,65.54
1349,5/29/2018,Huetar Norte,30.13,33.52,0.00,0.00,13.75,20.81
1350,5/30/2018,Central y Norte,649.8,744.44,28.41,34.63,244.89,215.04
1351,5/30/2018,Pacifico,1211.36,1297.36,14.06,32.92,23.41,17.61
1352,5/30/2018,Zona Sur,637.08,607.05,42.7,46.64,52.96,42.75
1353,5/30/2018,Caribe,476.59,524.74,0.00,0.00,46.26,69.76
1354,5/30/2018,Huetar Norte,30.13,34.44,0.00,0.00,13.75,18.73
1355,5/31/2018,Central y Norte,649.8,774.24,28.41,34.51,244.89,235.33
1356,5/31/2018,Pacifico,1211.36,1283.49,14.06,32.83,23.41,28.23
1357,5/31/2018,Zona Sur,637.08,623.43,42.7,47.72,52.96,51.94
1358,5/31/2018,Caribe,476.59,527.71,0.00,0.00,46.26,58.87
1359,5/31/2018,Huetar Norte,30.13,30.54,0.00,0.00,13.75,18.05
1360,6/1/2018,Central y Norte,649.77,706.63,30.83,34.51,303.99,249.64
1361,6/1/2018,Pacifico,1156.93,1292.17,25.07,32.84,16.99,25.01
1362,6/1/2018,Zona Sur,600.53,603.25,63.17,46.74,38.45,43.49
1363,6/1/2018,Caribe,469.15,483.39,0.00,0.00,53.41,58
1364,6/1/2018,Huetar Norte,30.25,30.23,0.00,0.00,21.71,16.93
1365,6/2/2018,Central y Norte,647.41,605.58,30.83,35.46,303.99,267.69
1366,6/2/2018,Pacifico,1156.93,1272.91,25.07,32.82,16.99,18.79
1367,6/2/2018,Zona Sur,600.53,599.01,63.17,47.54,38.45,34.02
1368,6/2/2018,Caribe,469.15,507.59,0.00,0.00,53.41,63.95
1369,6/2/2018,Huetar Norte,30.25,29.52,0.00,0.00,21.71,14.84
1370,6/3/2018,Central y Norte,647.41,602.32,30.83,34.58,303.99,294.3
1371,6/3/2018,Pacifico,1156.93,1209.11,25.07,6.88,16.99,10.44
1372,6/3/2018,Zona Sur,600.53,550.42,63.17,47.3,38.45,28.46
1373,6/3/2018,Caribe,469.15,487.41,0.00,0.00,53.41,68.46
1374,6/3/2018,Huetar Norte,30.25,29.99,0.00,0.00,21.71,16.78
1375,6/4/2018,Central y Norte,651.38,678.1,30.83,34.44,303.99,305.08
1376,6/4/2018,Pacifico,1156.67,1244.30,25.07,32.43,16.99,18.1
1377,6/4/2018,Zona Sur,600.53,556.96,63.17,47.29,38.45,40.36
1378,6/4/2018,Caribe,469.15,525.96,0.00,0.00,53.41,64.55
1379,6/4/2018,Huetar Norte,30.25,32.5,0.00,0.00,21.71,15.13
1380,6/5/2018,Central y Norte,651.38,689.01,30.83,34.43,303.99,307.86
1381,6/5/2018,Pacifico,1156.67,1270.90,25.07,31.93,16.99,13.37
1382,6/5/2018,Zona Sur,600.53,552.27,63.17,48.24,38.45,38.63
1383,6/5/2018,Caribe,469.15,524.25,0.00,0.00,53.41,69.79
1384,6/5/2018,Huetar Norte,30.25,32.7,0.00,0.00,21.71,15.72
1385,6/6/2018,Central y Norte,651.38,630.3,30.83,34.43,303.99,316.05
1386,6/6/2018,Pacifico,1166.67,1258.31,25.07,31.86,16.99,17.97
1387,6/6/2018,Zona Sur,604.53,527.48,63.17,47.44,38.45,35.51
1388,6/6/2018,Caribe,469.15,511.67,0.00,0.00,53.41,71.48
1389,6/6/2018,Huetar Norte,30.25,32.19,0.00,0.00,21.71,16.49
1390,6/7/2018,Central y Norte,663.59,662.52,30.83,34.58,303.99,259.48
1391,6/7/2018,Pacifico,1162.17,1248.36,25.07,31.85,16.99,16.88
1392,6/7/2018,Zona Sur,604.53,501.49,63.17,48.17,38.45,29.5
1393,6/7/2018,Caribe,469.15,501.19,0.00,0.00,53.41,76.04
1394,6/7/2018,Huetar Norte,30.25,31.07,0.00,0.00,21.71,18.21
1395,6/8/2018,Central y Norte,663.59,661.81,30.83,31.77,303.99,306.63
1396,6/8/2018,Pacifico,1162.17,1124.73,25.07,6.82,16.99,9.97
1397,6/8/2018,Zona Sur,604.53,484.09,63.17,42.5,38.45,23.51
1398,6/8/2018,Caribe,469.15,477.02,0.00,0.00,53.41,67.67
1399,6/8/2018,Huetar Norte,30.25,31.94,0.00,0.00,21.71,16.52
1400,6/9/2018,Central y Norte,663.59,573.06,30.83,29.5,303.99,300.49
1401,6/9/2018,Pacifico,1165.40,967,25.07,31.88,16.99,12.09
1402,6/9/2018,Zona Sur,604.53,448.11,63.17,47.73,38.45,31.75
1403,6/9/2018,Caribe,472.92,446.31,0.00,0.00,53.41,65.61
1404,6/9/2018,Huetar Norte,30.25,31.01,0.00,0.00,21.71,15.9
1405,6/10/2018,Central y Norte,671.9,530.41,30.83,30.2,303.99,305.43
1406,6/10/2018,Pacifico,1165.40,1031.10,25.07,32.91,16.99,8.56
1407,6/10/2018,Zona Sur,604.53,403.7,63.17,48.13,38.45,39.58
1408,6/10/2018,Caribe,472.92,420.78,0.00,0.00,53.41,64.56
1409,6/10/2018,Huetar Norte,30.25,31.6,0.00,0.00,21.71,14.53
1410,6/11/2018,Central y Norte,667.8,607.2,30.83,33.74,303.99,320.49
1411,6/11/2018,Pacifico,1165.40,1154.16,25.07,32.93,16.99,12.17
1412,6/11/2018,Zona Sur,604.53,417.34,63.17,48.32,38.45,51.39
1413,6/11/2018,Caribe,472.92,451.72,0.00,0.00,53.41,65.75
1414,6/11/2018,Huetar Norte,30.25,30.15,0.00,0.00,21.71,15.94
1415,6/12/2018,Central y Norte,667.8,651.67,30.83,33.47,303.99,397.38
1416,6/12/2018,Pacifico,1159.95,1137.67,25.07,32.92,16.99,13.19
1417,6/12/2018,Zona Sur,604.53,431.26,63.17,48.32,38.45,51.51
1418,6/12/2018,Caribe,469.74,461.16,0.00,0.00,53.41,60.64
1419,6/12/2018,Huetar Norte,30.25,30.03,0.00,0.00,21.71,18.4
1420,6/13/2018,Central y Norte,667.8,648.18,30.83,24.08,303.99,334.69
1421,6/13/2018,Pacifico,1150.87,1079.67,25.07,32.83,16.99,13.79
1422,6/13/2018,Zona Sur,604.53,431.12,63.17,47.37,38.45,53.25
1423,6/13/2018,Caribe,469.74,467.83,0.00,0.00,53.41,66.02
1424,6/13/2018,Huetar Norte,30.25,27.6,0.00,0.00,21.71,25.28
1425,6/14/2018,Central y Norte,667.8,658.22,30.83,24.4,303.99,288.77
1426,6/14/2018,Pacifico,1150.87,1066.93,25.07,32.88,16.99,21.32
1427,6/14/2018,Zona Sur,604.53,468.01,63.17,48.35,38.45,67.34
1428,6/14/2018,Caribe,469.74,467.11,0.00,0.00,53.41,72.36
1429,6/14/2018,Huetar Norte,30.25,28.28,0.00,0.00,21.71,26.4
1430,6/15/2018,Central y Norte,667.8,672.15,30.83,24.47,303.99,308.07
1431,6/15/2018,Pacifico,1153.43,1163.52,25.07,32.87,16.99,17.2
1432,6/15/2018,Zona Sur,581.6,501.66,63.17,48.34,38.45,58.46
1433,6/15/2018,Caribe,469.74,480.35,0.00,0.00,53.41,72.96
1434,6/15/2018,Huetar Norte,30.25,28.58,0.00,0.00,21.71,27.87
1435,6/16/2018,Central y Norte,667.8,643.51,30.83,33.99,303.99,310.01
1436,6/16/2018,Pacifico,1138.23,1163.32,25.07,32.88,16.99,10.16
1437,6/16/2018,Zona Sur,585.2,492.54,63.17,48.37,38.45,50.41
1438,6/16/2018,Caribe,469.74,479.14,0.00,0.00,53.41,77.03
1439,6/16/2018,Huetar Norte,30.25,27.92,0.00,0.00,21.71,28.76
1440,6/17/2018,Central y Norte,667.8,534.96,30.83,34.56,303.99,280.67
1441,6/17/2018,Pacifico,1138.23,1139.35,25.07,32.6,16.99,8.94
1442,6/17/2018,Zona Sur,585.2,454.53,63.17,47.64,38.45,45.06
1443,6/17/2018,Caribe,469.74,445.32,0.00,0.00,53.41,67.91
1444,6/17/2018,Huetar Norte,30.25,29.21,0.00,0.00,21.71,28
1445,6/18/2018,Central y Norte,667.8,602.2,30.83,34.47,303.99,265.86
1446,6/18/2018,Pacifico,1140.92,1215.85,25.07,32.68,16.99,13.08
1447,6/18/2018,Zona Sur,585.2,508.88,63.17,48.26,38.45,57.89
1448,6/18/2018,Caribe,469.74,469.73,0.00,0.00,53.41,73.35
1449,6/18/2018,Huetar Norte,30.25,27.01,0.00,0.00,21.71,27.46
1450,6/19/2018,Central y Norte,667.94,681.48,30.83,34.51,303.99,211.88
1451,6/19/2018,Pacifico,1140.92,1216.16,25.07,32.66,16.99,34.26
1452,6/19/2018,Zona Sur,585.2,560.83,63.17,47.65,38.45,59.83
1453,6/19/2018,Caribe,469.74,483.1,0.00,0.00,53.41,78.1
1454,6/19/2018,Huetar Norte,30.25,30.94,0.00,0.00,21.71,24.8
1455,6/20/2018,Central y Norte,664.82,773.39,30.83,34.84,303.99,213.85
1456,6/20/2018,Pacifico,1140.92,1233.13,25.07,32.67,16.99,33.98
1457,6/20/2018,Zona Sur,585.2,569.83,63.17,47.79,38.45,75.48
1458,6/20/2018,Caribe,469.74,490.76,0.00,0.00,53.41,72.12
1459,6/20/2018,Huetar Norte,30.25,30.74,0.00,0.00,21.71,22.42
1460,6/21/2018,Central y Norte,664.82,797.59,30.83,34.55,303.99,250.69
1461,6/21/2018,Pacifico,1125.32,1259.65,25.07,32.55,16.99,20.58
1462,6/21/2018,Zona Sur,585.6,562.34,63.17,47.7,38.45,67.64
1463,6/21/2018,Caribe,476.94,498.97,0.00,0.00,53.41,71.52
1464,6/21/2018,Huetar Norte,30.25,32.1,0.00,0.00,21.71,21.98
1465,6/22/2018,Central y Norte,665.68,805.07,30.83,30.78,303.99,263.56
1466,6/22/2018,Pacifico,1125.32,1254.07,25.07,32.84,16.99,9.88
1467,6/22/2018,Zona Sur,584.98,580.26,63.17,48.37,38.45,60.64
1468,6/22/2018,Caribe,476.94,510.59,0.00,0.00,53.41,68.62
1469,6/22/2018,Huetar Norte,30.25,32.01,0.00,0.00,21.71,23.04
1470,6/23/2018,Central y Norte,665.68,812.84,30.83,29.1,303.99,274.78
1471,6/23/2018,Pacifico,1125.32,1241.67,25.07,32.2,16.99,11.27
1472,6/23/2018,Zona Sur,571.34,540.37,63.17,47.68,38.45,49.1
1473,6/23/2018,Caribe,476.94,512.14,0.00,0.00,53.41,70.7
1474,6/23/2018,Huetar Norte,30.25,32.74,0.00,0.00,21.71,25.32
1475,6/24/2018,Central y Norte,665.68,787.34,30.83,29.6,303.99,267.82
1476,6/24/2018,Pacifico,1136.32,1166.62,25.07,32.26,16.99,8.6
1477,6/24/2018,Zona Sur,567.99,481.63,63.17,47.56,38.45,46.67
1478,6/24/2018,Caribe,473.11,480.27,0.00,0.00,53.41,68.84
1479,6/24/2018,Huetar Norte,30.25,31.15,0.00,0.00,21.71,23.25
1480,6/25/2018,Central y Norte,658.72,802.55,30.83,29.56,303.99,277.74
1481,6/25/2018,Pacifico,1140.27,1193.55,25.07,32.45,16.99,8.95
1482,6/25/2018,Zona Sur,567.99,505.96,63.17,47.18,38.45,45.81
1483,6/25/2018,Caribe,464.19,486.52,0.00,0.00,53.41,66.77
1484,6/25/2018,Huetar Norte,30.25,30.6,0.00,0.00,21.71,24.11
1485,6/26/2018,Central y Norte,658.72,746.82,30.83,29.67,303.99,288.2
1486,6/26/2018,Pacifico,1146.67,1148.05,25.07,32.45,16.99,13.61
1487,6/26/2018,Zona Sur,576.99,492.81,63.17,45.76,38.45,42.75
1488,6/26/2018,Caribe,463.11,474.31,0.00,0.00,53.41,65.96
1489,6/26/2018,Huetar Norte,30.25,30.55,0.00,0.00,21.71,23.56
1490,6/27/2018,Central y Norte,658.72,672.74,30.83,32.51,303.99,278.12
1491,6/27/2018,Pacifico,1162.72,1161.58,25.07,32.45,16.99,10.81
1492,6/27/2018,Zona Sur,576.99,478.64,63.17,46.51,38.45,50.15
1493,6/27/2018,Caribe,463.11,470.65,0.00,0.00,53.41,63.13
1494,6/27/2018,Huetar Norte,30.25,31.39,0.00,0.00,21.71,22.11
1495,6/28/2018,Central y Norte,658.72,529.28,30.83,34.33,303.99,286.18
1496,6/28/2018,Pacifico,1162.72,1156.58,25.07,32.87,16.99,16.04
1497,6/28/2018,Zona Sur,576.99,488.32,63.17,46.76,38.45,61.18
1498,6/28/2018,Caribe,463.11,453.89,0.00,0.00,53.41,61.54
1499,6/28/2018,Huetar Norte,30.25,30.99,0.00,0.00,21.71,24.14
1500,6/29/2018,Central y Norte,658.72,555.63,30.83,34.64,303.99,285.19
1501,6/29/2018,Pacifico,1162.72,1159.51,25.07,32.85,16.99,18.69
1502,6/29/2018,Zona Sur,572.88,522.63,63.17,46.15,38.45,68.87
1503,6/29/2018,Caribe,463.11,477.29,0.00,0.00,53.41,63.37
1504,6/29/2018,Huetar Norte,30.25,31.26,0.00,0.00,21.71,23.18
1505,6/30/2018,Central y Norte,658.72,593.23,30.83,33.85,303.99,312.89
1506,6/30/2018,Pacifico,1162.72,1214.00,25.07,31.8,16.99,20.44
1507,6/30/2018,Zona Sur,572.88,521.42,63.17,46.19,38.45,72.63
1508,6/30/2018,Caribe,463.11,499.53,0.00,0.00,53.41,58.76
1509,6/30/2018,Huetar Norte,30.25,31,0.00,0.00,21.71,23.25
1510,7/1/2018,Central y Norte,645.49,572.79,30.72,30.37,314.44,325.24
1511,7/1/2018,Pacifico,1094.62,1188.11,14.06,30.07,21.91,11.66
1512,7/1/2018,Zona Sur,544.82,507.82,40.09,47.04,62.52,57.36
1513,7/1/2018,Caribe,454.23,477.82,0.00,0.00,69.16,57.44
1514,7/1/2018,Huetar Norte,30.1,30.84,0.00,0.00,30.46,23.88
1515,7/2/2018,Central y Norte,645.3,575.61,30.72,29.97,314.44,328.83
1516,7/2/2018,Pacifico,1094.62,1173.11,14.06,28.26,21.91,16.26
1517,7/2/2018,Zona Sur,544.82,491.86,40.09,45.96,62.52,50.9
1518,7/2/2018,Caribe,454.23,471.39,0.00,0.00,69.16,64.17
1519,7/2/2018,Huetar Norte,30.1,30.34,0.00,0.00,30.46,25.77
1520,7/3/2018,Central y Norte,644.14,560.86,30.72,30.29,314.44,332.48
1521,7/3/2018,Pacifico,1094.62,1097.23,14.06,28.82,21.91,12.12
1522,7/3/2018,Zona Sur,544.82,497.77,40.09,46.38,62.52,45.72
1523,7/3/2018,Caribe,449.73,449.38,0.00,0.00,69.16,64.57
1524,7/3/2018,Huetar Norte,30.1,29.88,0.00,0.00,30.46,29.01
1525,7/4/2018,Central y Norte,644.14,524.93,30.72,30.51,314.44,325.38
1526,7/4/2018,Pacifico,1094.62,1066.29,14.06,29.6,21.91,14.02
1527,7/4/2018,Zona Sur,541.49,525.05,40.09,46.37,62.52,46.01
1528,7/4/2018,Caribe,449.73,447.65,0.00,0.00,69.16,65.65
1529,7/4/2018,Huetar Norte,30.1,30.4,0.00,0.00,30.46,28.32
1530,7/5/2018,Central y Norte,644.14,604.03,30.72,30.23,314.44,300.98
1531,7/5/2018,Pacifico,1084.37,1127.95,14.06,29.95,21.91,15.83
1532,7/5/2018,Zona Sur,541.49,539.76,40.09,46.43,62.52,45.54
1533,7/5/2018,Caribe,446.73,471.36,0.00,0.00,69.16,67.16
1534,7/5/2018,Huetar Norte,30.1,31.65,0.00,0.00,30.46,29.15
