,indice,fecha,Region,Generacion Termica actual (MU),Generacion Termica Estimada (MU),Generacion Eolica Actual (MU),Generacion Eolica Estimada (MU),Hidro Generacion Actual (MU),Hidro Generacion Estimada (MU),HDBSCAN_clusters
833,833,2/15/2018,Caribe,488.0,490.15,0.0,0.0,25.1,22.96,0
834,834,2/15/2018,Huetar Norte,31.93,32.49,0.0,0.0,10.24,6.73,1
835,835,2/16/2018,Central y Norte,616.21,627.46,30.36,31.82,109.45,95.49,3
836,836,2/16/2018,Pacifico,1166.32,1187.35,25.14,26.24,40.94,23.92,2
837,837,2/16/2018,Zona Sur,643.74,605.11,67.0,70.09,82.8,48.73,-1
838,838,2/16/2018,Caribe,490.85,496.94,0.0,0.0,25.1,22.43,0
839,839,2/16/2018,Huetar Norte,31.93,33.2,0.0,0.0,10.24,6.98,1
840,840,2/17/2018,Central y Norte,616.21,611.01,30.36,31.66,109.45,96.91,3
841,841,2/17/2018,Pacifico,1166.32,1189.54,25.14,25.17,40.94,27.21,2
842,842,2/17/2018,Zona Sur,643.74,617.08,67.0,71.04,82.8,47.95,-1
843,843,2/17/2018,Caribe,490.85,508.87,0.0,0.0,25.1,23.94,0
844,844,2/17/2018,Huetar Norte,31.93,32.85,0.0,0.0,10.24,7.03,1
845,845,2/18/2018,Central y Norte,616.21,582.75,30.36,31.78,109.45,93.96,3
846,846,2/18/2018,Pacifico,1166.32,1185.76,25.14,13.09,40.94,24.53,2
847,847,2/18/2018,Zona Sur,650.74,580.96,67.0,71.01,82.8,37.39,-1
848,848,2/18/2018,Caribe,490.85,502.79,0.0,0.0,25.1,21.61,0
849,849,2/18/2018,Huetar Norte,31.93,32.43,0.0,0.0,10.24,7.16,1
850,850,2/19/2018,Central y Norte,626.01,582.78,30.36,31.71,109.45,97.65,3
851,851,2/19/2018,Pacifico,1166.32,1194.11,25.14,13.09,40.94,36.51,2
852,852,2/19/2018,Zona Sur,650.74,618.36,67.0,57.37,82.8,50.19,3
853,853,2/19/2018,Caribe,490.85,504.64,0.0,0.0,25.1,30.21,0
854,854,2/19/2018,Huetar Norte,31.93,33.01,0.0,0.0,10.24,6.71,1
855,855,2/20/2018,Central y Norte,620.85,607.92,30.36,31.5,109.45,97.73,3
856,856,2/20/2018,Pacifico,1166.32,1205.79,25.14,13.09,40.94,35.98,2
857,857,2/20/2018,Zona Sur,650.74,644.61,67.0,47.57,82.8,58.9,3
858,858,2/20/2018,Caribe,490.85,523.94,0.0,0.0,25.1,24.11,0
859,859,2/20/2018,Huetar Norte,31.93,33.58,0.0,0.0,10.24,6.74,1
860,860,2/21/2018,Central y Norte,630.85,608.66,30.36,31.55,109.45,99.28,3
861,861,2/21/2018,Pacifico,1166.32,1200.22,25.14,13.09,40.94,35.39,2
862,862,2/21/2018,Zona Sur,650.74,650.81,67.0,48.46,82.8,55.93,3
863,863,2/21/2018,Caribe,490.85,537.61,0.0,0.0,25.1,23.23,0
864,864,2/21/2018,Huetar Norte,31.93,33.8,0.0,0.0,10.24,5.75,1
865,865,2/22/2018,Central y Norte,633.56,616.84,30.36,31.47,109.45,97.77,3
866,866,2/22/2018,Pacifico,1168.03,1213.6,25.14,12.55,40.94,36.89,2
867,867,2/22/2018,Zona Sur,650.74,647.79,67.0,48.54,82.8,61.67,3
868,868,2/22/2018,Caribe,490.85,545.31,0.0,0.0,25.1,25.22,0
869,869,2/22/2018,Huetar Norte,31.93,33.77,0.0,0.0,10.24,5.26,1
870,870,2/23/2018,Central y Norte,633.56,622.09,30.36,31.44,109.45,98.91,3
871,871,2/23/2018,Pacifico,1169.43,1211.49,25.14,12.55,40.94,26.39,2
872,872,2/23/2018,Zona Sur,650.74,657.13,67.0,47.59,82.8,58.66,3
873,873,2/23/2018,Caribe,490.85,523.9,0.0,0.0,25.1,27.0,0
874,874,2/23/2018,Huetar Norte,31.93,33.92,0.0,0.0,10.24,5.34,1
875,875,2/24/2018,Central y Norte,633.56,592.86,30.36,31.4,109.45,94.15,3
876,876,2/24/2018,Pacifico,1169.43,1203.97,25.14,15.68,40.94,27.04,2
877,877,2/24/2018,Zona Sur,650.74,632.25,67.0,47.58,82.8,58.96,3
878,878,2/24/2018,Caribe,490.85,523.0,0.0,0.0,25.1,28.12,0
879,879,2/24/2018,Huetar Norte,31.93,33.13,0.0,0.0,10.24,5.28,1
880,880,2/25/2018,Central y Norte,632.89,575.09,30.36,31.4,109.45,101.25,3
881,881,2/25/2018,Pacifico,1169.43,1155.68,25.14,25.87,40.94,13.91,2
882,882,2/25/2018,Zona Sur,650.74,608.12,67.0,47.58,82.8,43.96,3
883,883,2/25/2018,Caribe,490.85,532.18,0.0,0.0,25.1,19.05,0
884,884,2/25/2018,Huetar Norte,31.93,32.55,0.0,0.0,10.24,5.62,1
885,885,2/26/2018,Central y Norte,632.25,614.35,30.36,31.52,109.45,106.45,3
886,886,2/26/2018,Pacifico,1169.43,1181.85,25.14,26.01,40.94,28.89,2
887,887,2/26/2018,Zona Sur,650.74,635.58,67.0,47.59,82.8,63.72,3
888,888,2/26/2018,Caribe,490.85,533.87,0.0,0.0,25.1,22.55,0
889,889,2/26/2018,Huetar Norte,31.93,31.1,0.0,0.0,10.24,5.57,1
890,890,2/27/2018,Central y Norte,632.25,635.76,30.36,31.48,109.45,107.4,3
891,891,2/27/2018,Pacifico,1169.43,1195.82,25.14,26.13,40.94,32.09,2
892,892,2/27/2018,Zona Sur,650.74,638.18,67.0,47.54,82.8,61.85,3
893,893,2/27/2018,Caribe,495.35,543.05,0.0,0.0,25.1,28.03,0
894,894,2/27/2018,Huetar Norte,31.93,30.67,0.0,0.0,10.24,5.81,1
895,895,2/28/2018,Central y Norte,634.75,661.54,30.36,31.38,109.45,107.45,3
896,896,2/28/2018,Pacifico,1169.43,1194.22,25.14,26.14,40.94,39.93,2
897,897,2/28/2018,Zona Sur,650.74,659.82,67.0,48.41,82.8,69.79,3
898,898,2/28/2018,Caribe,499.35,543.69,0.0,0.0,25.1,27.92,0
899,899,2/28/2018,Huetar Norte,31.93,34.11,0.0,0.0,10.24,5.47,1
900,900,3/1/2018,Central y Norte,635.26,654.47,30.32,31.39,134.13,105.98,3
901,901,3/1/2018,Pacifico,1175.98,1186.85,25.19,25.96,38.1,27.09,2
902,902,3/1/2018,Zona Sur,649.52,662.08,62.86,47.69,88.22,69.71,3
903,903,3/1/2018,Caribe,505.24,536.02,0.0,0.0,30.16,21.73,0
904,904,3/1/2018,Huetar Norte,31.96,33.97,0.0,0.0,12.16,5.6,1
905,905,3/2/2018,Central y Norte,635.26,554.5,30.32,31.27,134.13,104.7,3
906,906,3/2/2018,Pacifico,1175.98,1092.98,25.19,25.96,38.1,10.57,2
907,907,3/2/2018,Zona Sur,649.52,630.75,62.86,48.48,88.22,55.04,3
908,908,3/2/2018,Caribe,505.24,490.72,0.0,0.0,30.16,19.54,0
909,909,3/2/2018,Huetar Norte,31.96,31.28,0.0,0.0,12.16,5.56,1
910,910,3/3/2018,Central y Norte,637.13,542.8,30.32,31.27,134.13,112.61,3
911,911,3/3/2018,Pacifico,1175.98,1111.5,25.19,25.96,38.1,22.09,2
912,912,3/3/2018,Zona Sur,649.52,646.83,62.86,48.45,88.22,62.78,3
913,913,3/3/2018,Caribe,505.24,492.22,0.0,0.0,30.16,24.95,0
914,914,3/3/2018,Huetar Norte,31.96,30.87,0.0,0.0,12.16,6.33,1
915,915,3/4/2018,Central y Norte,637.13,562.84,30.32,31.41,134.13,112.52,3
916,916,3/4/2018,Pacifico,1175.98,1162.4,25.19,25.96,38.1,12.14,2
917,917,3/4/2018,Zona Sur,649.52,639.72,62.86,48.55,88.22,60.78,3
918,918,3/4/2018,Caribe,505.24,523.06,0.0,0.0,30.16,25.56,0
919,919,3/4/2018,Huetar Norte,31.96,31.91,0.0,0.0,12.16,6.48,1
920,920,3/5/2018,Central y Norte,636.48,610.22,30.32,30.78,134.13,112.23,3
921,921,3/5/2018,Pacifico,1175.98,1173.44,25.19,26.18,38.1,23.32,2
922,922,3/5/2018,Zona Sur,649.52,650.26,62.86,48.48,88.22,79.2,3
923,923,3/5/2018,Caribe,501.14,526.63,0.0,0.0,30.16,24.07,0
924,924,3/5/2018,Huetar Norte,31.96,33.13,0.0,0.0,12.16,9.06,1
925,925,3/6/2018,Central y Norte,635.83,647.31,30.32,25.96,134.13,107.62,3
926,926,3/6/2018,Pacifico,1175.98,1189.26,25.19,26.1,38.1,25.88,2
927,927,3/6/2018,Zona Sur,649.52,652.52,62.86,48.42,88.22,73.92,3
928,928,3/6/2018,Caribe,501.14,520.24,0.0,0.0,30.16,28.06,0
929,929,3/6/2018,Huetar Norte,31.96,33.34,0.0,0.0,12.16,5.9,1
930,930,3/7/2018,Central y Norte,632.55,648.77,30.32,26.0,134.13,106.19,3
931,931,3/7/2018,Pacifico,1175.98,1169.49,25.19,26.19,38.1,26.9,2
932,932,3/7/2018,Zona Sur,649.52,660.37,62.86,48.94,88.22,72.38,3
933,933,3/7/2018,Caribe,501.14,545.88,0.0,0.0,30.16,25.2,0
934,934,3/7/2018,Huetar Norte,31.96,33.68,0.0,0.0,12.16,5.43,1
935,935,3/8/2018,Central y Norte,631.9,642.28,30.32,25.8,134.13,105.78,3
936,936,3/8/2018,Pacifico,1175.98,1193.83,25.19,26.17,38.1,33.1,2
937,937,3/8/2018,Zona Sur,649.52,666.1,62.86,31.05,88.22,80.88,3
938,938,3/8/2018,Caribe,501.14,544.58,0.0,0.0,30.16,23.6,0
939,939,3/8/2018,Huetar Norte,31.96,33.78,0.0,0.0,12.16,5.41,1
940,940,3/9/2018,Central y Norte,631.9,633.01,30.32,25.72,134.13,105.11,3
941,941,3/9/2018,Pacifico,1175.98,1155.59,25.19,26.23,38.1,33.64,2
942,942,3/9/2018,Zona Sur,649.52,704.3,62.86,25.98,88.22,86.56,-1
943,943,3/9/2018,Caribe,501.14,541.05,0.0,0.0,30.16,25.77,0
944,944,3/9/2018,Huetar Norte,31.96,34.02,0.0,0.0,12.16,4.99,1
945,945,3/10/2018,Central y Norte,631.9,640.62,30.32,25.78,134.13,104.13,3
946,946,3/10/2018,Pacifico,1175.98,1163.68,25.19,26.21,38.1,31.4,2
947,947,3/10/2018,Zona Sur,649.52,687.98,62.86,26.07,88.22,72.91,-1
948,948,3/10/2018,Caribe,501.14,546.67,0.0,0.0,30.16,25.79,0
949,949,3/10/2018,Huetar Norte,31.96,33.95,0.0,0.0,12.16,5.38,1
950,950,3/11/2018,Central y Norte,635.05,670.46,30.32,25.77,134.13,101.45,3
951,951,3/11/2018,Pacifico,1175.98,1128.53,25.19,26.17,38.1,17.09,2
952,952,3/11/2018,Zona Sur,649.52,653.75,62.86,27.47,88.22,54.71,3
953,953,3/11/2018,Caribe,501.14,540.23,0.0,0.0,30.16,21.16,0
954,954,3/11/2018,Huetar Norte,31.96,33.85,0.0,0.0,12.16,5.93,1
955,955,3/12/2018,Central y Norte,635.75,690.77,30.32,25.6,134.13,99.21,3
956,956,3/12/2018,Pacifico,1175.98,1145.06,25.19,26.12,38.1,18.66,2
957,957,3/12/2018,Zona Sur,649.52,678.51,62.86,31.04,88.22,69.31,3
958,958,3/12/2018,Caribe,501.14,544.48,0.0,0.0,30.16,26.71,0
959,959,3/12/2018,Huetar Norte,31.96,32.82,0.0,0.0,12.16,5.69,1
960,960,3/13/2018,Central y Norte,628.85,679.83,30.32,25.42,134.13,99.87,3
961,961,3/13/2018,Pacifico,1175.98,1153.09,25.19,26.12,38.1,20.63,2
962,962,3/13/2018,Zona Sur,649.52,688.03,62.86,41.22,88.22,74.45,3
963,963,3/13/2018,Caribe,501.14,550.22,0.0,0.0,30.16,26.06,0
964,964,3/13/2018,Huetar Norte,31.96,32.33,0.0,0.0,12.16,6.07,1
965,965,3/14/2018,Central y Norte,618.7,673.49,30.32,28.54,134.13,102.8,3
966,966,3/14/2018,Pacifico,1175.98,1135.08,25.19,26.07,38.1,23.9,2
967,967,3/14/2018,Zona Sur,649.52,690.52,62.86,47.41,88.22,75.92,3
968,968,3/14/2018,Caribe,501.14,549.61,0.0,0.0,30.16,25.82,0
969,969,3/14/2018,Huetar Norte,31.96,32.86,0.0,0.0,12.16,5.99,1
970,970,3/15/2018,Central y Norte,618.09,685.94,30.32,30.85,134.13,108.14,3
971,971,3/15/2018,Pacifico,1175.98,1161.16,25.19,26.07,38.1,20.1,2
972,972,3/15/2018,Zona Sur,649.52,694.23,62.86,47.28,88.22,79.75,3
973,973,3/15/2018,Caribe,501.14,545.39,0.0,0.0,30.16,25.58,0
974,974,3/15/2018,Huetar Norte,31.96,34.58,0.0,0.0,12.16,6.45,1
975,975,3/16/2018,Central y Norte,617.44,683.89,30.32,31.04,134.13,105.07,3
976,976,3/16/2018,Pacifico,1175.98,1192.38,25.19,26.07,38.1,17.51,2
977,977,3/16/2018,Zona Sur,649.52,665.35,62.86,47.34,88.22,62.33,3
978,978,3/16/2018,Caribe,501.14,523.13,0.0,0.0,30.16,25.21,0
979,979,3/16/2018,Huetar Norte,31.96,32.97,0.0,0.0,12.16,6.78,1
980,980,3/17/2018,Central y Norte,618.09,657.68,30.32,31.17,134.13,98.77,3
981,981,3/17/2018,Pacifico,1175.98,1189.33,25.19,26.07,38.1,23.73,2
982,982,3/17/2018,Zona Sur,649.52,591.9,62.86,48.27,88.22,54.18,3
983,983,3/17/2018,Caribe,501.14,505.9,0.0,0.0,30.16,30.81,0
984,984,3/17/2018,Huetar Norte,31.96,32.72,0.0,0.0,12.16,8.1,1
985,985,3/18/2018,Central y Norte,618.09,642.37,30.32,30.34,134.13,99.05,3
986,986,3/18/2018,Pacifico,1175.98,1142.17,25.19,26.06,38.1,14.23,2
987,987,3/18/2018,Zona Sur,649.52,627.71,62.86,48.19,88.22,39.82,3
988,988,3/18/2018,Caribe,501.14,497.02,0.0,0.0,30.16,28.07,0
989,989,3/18/2018,Huetar Norte,31.96,31.58,0.0,0.0,12.16,7.83,1
990,990,3/19/2018,Central y Norte,618.74,664.57,30.32,30.88,134.13,98.7,3
991,991,3/19/2018,Pacifico,1175.98,1161.32,25.19,26.06,38.1,28.39,2
992,992,3/19/2018,Zona Sur,649.52,655.58,62.86,50.93,88.22,49.42,3
993,993,3/19/2018,Caribe,501.14,515.32,0.0,0.0,30.16,27.89,0
994,994,3/19/2018,Huetar Norte,31.96,33.04,0.0,0.0,12.16,7.2,1
995,995,3/20/2018,Central y Norte,619.39,664.76,30.32,30.85,134.13,99.35,3
996,996,3/20/2018,Pacifico,1175.98,1191.97,25.19,26.11,38.1,23.08,2
997,997,3/20/2018,Zona Sur,649.52,675.82,62.86,47.69,88.22,61.54,3
998,998,3/20/2018,Caribe,501.14,507.57,0.0,0.0,30.16,30.2,0
999,999,3/20/2018,Huetar Norte,31.96,33.37,0.0,0.0,12.16,6.69,1
1000,1000,3/21/2018,Central y Norte,623.37,643.01,30.32,29.8,134.13,97.94,3
1001,1001,3/21/2018,Pacifico,1175.98,1183.09,25.19,26.12,38.1,22.08,2
1002,1002,3/21/2018,Zona Sur,649.52,691.93,62.86,48.48,88.22,58.78,3
1003,1003,3/21/2018,Caribe,501.14,502.22,0.0,0.0,30.16,33.12,0
1004,1004,3/21/2018,Huetar Norte,31.96,34.43,0.0,0.0,12.16,7.38,1
1005,1005,3/22/2018,Central y Norte,624.02,646.41,30.32,25.9,134.13,100.66,3
1006,1006,3/22/2018,Pacifico,1179.18,1210.24,25.19,26.03,38.1,19.85,2
1007,1007,3/22/2018,Zona Sur,649.52,694.15,62.86,48.47,88.22,59.21,3
1008,1008,3/22/2018,Caribe,501.14,518.01,0.0,0.0,30.16,31.93,0
1009,1009,3/22/2018,Huetar Norte,31.96,35.09,0.0,0.0,12.16,5.46,1
1010,1010,3/23/2018,Central y Norte,624.02,651.19,30.32,26.44,134.13,101.37,3
1011,1011,3/23/2018,Pacifico,1179.18,1222.6,25.19,26.09,38.1,21.11,2
1012,1012,3/23/2018,Zona Sur,649.52,702.2,62.86,48.46,88.22,64.0,3
1013,1013,3/23/2018,Caribe,501.14,527.94,0.0,0.0,30.16,33.17,0
1014,1014,3/23/2018,Huetar Norte,31.96,35.2,0.0,0.0,12.16,5.57,1
1015,1015,3/24/2018,Central y Norte,624.02,637.74,30.32,30.55,134.13,101.89,3
1016,1016,3/24/2018,Pacifico,1179.18,1223.81,25.19,26.08,38.1,26.69,2
1017,1017,3/24/2018,Zona Sur,649.52,715.62,62.86,48.56,88.22,63.84,3
1018,1018,3/24/2018,Caribe,501.14,529.56,0.0,0.0,30.16,34.98,0
1019,1019,3/24/2018,Huetar Norte,31.96,33.95,0.0,0.0,12.16,5.46,1
1020,1020,3/25/2018,Central y Norte,624.02,599.15,30.32,31.09,134.13,100.87,3
1021,1021,3/25/2018,Pacifico,1179.18,1207.06,25.19,22.51,38.1,21.03,2
1022,1022,3/25/2018,Zona Sur,649.52,677.37,62.86,48.48,88.22,49.75,3
1023,1023,3/25/2018,Caribe,501.14,531.14,0.0,0.0,30.16,28.23,0
1024,1024,3/25/2018,Huetar Norte,31.96,33.76,0.0,0.0,12.16,5.68,1
1025,1025,3/26/2018,Central y Norte,624.02,635.47,30.32,30.93,134.13,98.18,3
1026,1026,3/26/2018,Pacifico,1179.18,1240.15,25.19,13.05,38.1,39.2,2
1027,1027,3/26/2018,Zona Sur,649.52,699.4,62.86,48.56,88.22,76.87,3
1028,1028,3/26/2018,Caribe,505.24,544.38,0.0,0.0,30.16,30.59,0
1029,1029,3/26/2018,Huetar Norte,31.96,33.05,0.0,0.0,12.16,6.77,1
1030,1030,3/27/2018,Central y Norte,624.67,634.68,30.32,30.92,134.13,96.16,3
1031,1031,3/27/2018,Pacifico,1179.18,1254.28,25.19,15.95,38.1,42.38,2
1032,1032,3/27/2018,Zona Sur,649.52,717.22,62.86,48.39,88.22,86.32,3
1033,1033,3/27/2018,Caribe,505.24,546.76,0.0,0.0,30.16,31.34,0
1034,1034,3/27/2018,Huetar Norte,31.96,32.89,0.0,0.0,12.16,6.51,1
1035,1035,3/28/2018,Central y Norte,624.67,656.12,30.32,30.85,134.13,95.55,3
1036,1036,3/28/2018,Pacifico,1179.18,1239.47,25.19,15.95,38.1,22.81,2
1037,1037,3/28/2018,Zona Sur,649.52,746.79,62.86,48.39,88.22,81.07,3
1038,1038,3/28/2018,Caribe,505.24,559.96,0.0,0.0,30.16,33.73,0
1039,1039,3/28/2018,Huetar Norte,31.96,32.4,0.0,0.0,12.16,6.44,1
1040,1040,3/29/2018,Central y Norte,625.32,649.8,30.32,30.82,134.13,97.26,3
1041,1041,3/29/2018,Pacifico,1179.18,1281.13,25.19,16.19,38.1,24.14,2
1042,1042,3/29/2018,Zona Sur,649.52,738.67,62.86,48.46,88.22,75.23,3
1043,1043,3/29/2018,Caribe,505.24,553.61,0.0,0.0,30.16,37.88,0
1044,1044,3/29/2018,Huetar Norte,31.96,28.25,0.0,0.0,12.16,6.64,1
1045,1045,3/30/2018,Central y Norte,625.97,633.74,30.32,30.83,134.13,93.2,3
1046,1046,3/30/2018,Pacifico,1179.18,1274.69,25.19,28.91,38.1,13.4,2
1047,1047,3/30/2018,Zona Sur,649.52,708.86,62.86,48.54,88.22,63.86,3
1048,1048,3/30/2018,Caribe,505.24,530.74,0.0,0.0,30.16,29.81,0
1049,1049,3/30/2018,Huetar Norte,31.96,26.59,0.0,0.0,12.16,7.89,1
1050,1050,3/31/2018,Central y Norte,628.5,599.11,30.32,30.88,134.13,89.39,3
1051,1051,3/31/2018,Pacifico,1179.18,1243.68,25.19,29.08,38.1,18.72,2
1052,1052,3/31/2018,Zona Sur,649.52,664.82,62.86,48.56,88.22,53.73,3
1053,1053,3/31/2018,Caribe,505.24,509.54,0.0,0.0,30.16,20.87,0
1054,1054,3/31/2018,Huetar Norte,31.96,28.32,0.0,0.0,12.16,7.0,1
1055,1055,4/1/2018,Central y Norte,657.76,552.66,22.5,36.09,154.72,95.71,3
1056,1056,4/1/2018,Pacifico,1230.81,1213.69,14.07,30.48,24.4,14.83,2
1057,1057,4/1/2018,Zona Sur,650.59,639.99,47.03,47.68,62.88,46.06,3
1058,1058,4/1/2018,Caribe,471.76,487.76,0.0,0.0,39.12,14.38,0
1059,1059,4/1/2018,Huetar Norte,30.25,30.37,0.0,0.0,7.43,7.49,1
1060,1060,4/2/2018,Central y Norte,657.76,600.38,22.5,36.05,154.72,104.47,-1
1061,1061,4/2/2018,Pacifico,1230.81,1220.85,14.07,31.35,24.4,37.47,2
1062,1062,4/2/2018,Zona Sur,650.59,629.28,47.03,48.47,62.88,50.14,3
1063,1063,4/2/2018,Caribe,471.76,491.98,0.0,0.0,39.12,23.62,0
1064,1064,4/2/2018,Huetar Norte,30.25,29.72,0.0,0.0,7.43,7.22,1
1065,1065,4/3/2018,Central y Norte,682.27,634.5,22.5,36.06,154.72,108.76,-1
1066,1066,4/3/2018,Pacifico,1230.81,1223.12,14.07,31.46,24.4,41.17,2
1067,1067,4/3/2018,Zona Sur,650.59,689.5,47.03,47.53,62.88,71.14,3
1068,1068,4/3/2018,Caribe,471.76,532.32,0.0,0.0,39.12,29.03,0
1069,1069,4/3/2018,Huetar Norte,30.25,29.9,0.0,0.0,7.43,6.56,1
1070,1070,4/4/2018,Central y Norte,682.27,662.82,22.5,36.04,154.72,115.23,-1
1071,1071,4/4/2018,Pacifico,1230.81,1222.3,14.07,32.01,24.4,36.49,2
1072,1072,4/4/2018,Zona Sur,650.59,697.41,47.03,47.53,62.88,73.18,3
1073,1073,4/4/2018,Caribe,471.76,539.86,0.0,0.0,39.12,27.63,0
1074,1074,4/4/2018,Huetar Norte,30.25,30.44,0.0,0.0,7.43,6.47,1
1075,1075,4/5/2018,Central y Norte,638.68,635.3,22.5,34.15,154.72,108.13,-1
1076,1076,4/5/2018,Pacifico,1228.4,1243.93,14.07,32.18,24.4,23.94,2
1077,1077,4/5/2018,Zona Sur,643.73,697.37,47.03,47.57,62.88,75.96,3
1078,1078,4/5/2018,Caribe,464.13,539.21,0.0,0.0,39.12,27.42,0
1079,1079,4/5/2018,Huetar Norte,30.25,30.31,0.0,0.0,7.43,5.62,1
1080,1080,4/6/2018,Central y Norte,640.97,618.14,22.5,31.13,154.72,106.01,-1
1081,1081,4/6/2018,Pacifico,1230.81,1241.81,14.07,32.45,24.4,22.53,2
1082,1082,4/6/2018,Zona Sur,650.59,706.91,47.03,48.44,62.88,74.97,3
1083,1083,4/6/2018,Caribe,457.96,536.52,0.0,0.0,39.12,28.04,0
1084,1084,4/6/2018,Huetar Norte,30.25,30.51,0.0,0.0,7.43,5.77,1
1085,1085,4/7/2018,Central y Norte,640.97,555.83,22.5,29.62,154.72,108.85,-1
1086,1086,4/7/2018,Pacifico,1230.81,1256.06,14.07,32.7,24.4,21.1,2
1087,1087,4/7/2018,Zona Sur,650.59,662.33,47.03,48.39,62.88,59.09,3
1088,1088,4/7/2018,Caribe,457.96,528.48,0.0,0.0,39.12,25.48,0
1089,1089,4/7/2018,Huetar Norte,30.25,25.17,0.0,0.0,7.43,5.51,1
1090,1090,4/8/2018,Central y Norte,640.97,559.83,22.5,30.45,154.72,104.73,-1
1091,1091,4/8/2018,Pacifico,1230.81,1222.73,14.07,32.84,24.4,12.8,2
1092,1092,4/8/2018,Zona Sur,650.59,596.17,47.03,48.41,62.88,48.21,3
1093,1093,4/8/2018,Caribe,457.96,484.06,0.0,0.0,39.12,27.84,0
1094,1094,4/8/2018,Huetar Norte,30.25,24.23,0.0,0.0,7.43,6.14,1
1095,1095,4/9/2018,Central y Norte,640.97,532.72,22.5,30.75,154.72,111.09,-1
1096,1096,4/9/2018,Pacifico,1230.81,1266.79,14.07,33.18,24.4,21.04,2
1097,1097,4/9/2018,Zona Sur,650.59,638.68,47.03,48.35,62.88,64.0,3
1098,1098,4/9/2018,Caribe,457.96,513.26,0.0,0.0,39.12,28.56,0
1099,1099,4/9/2018,Huetar Norte,30.25,23.07,0.0,0.0,7.43,5.68,1
1100,1100,4/10/2018,Central y Norte,635.21,561.19,22.5,30.57,154.72,111.67,-1
1101,1101,4/10/2018,Pacifico,1230.81,1276.35,14.07,33.5,24.4,24.66,2
1102,1102,4/10/2018,Zona Sur,650.59,670.18,47.03,48.33,62.88,74.73,3
1103,1103,4/10/2018,Caribe,457.96,507.13,0.0,0.0,39.12,33.21,0
1104,1104,4/10/2018,Huetar Norte,30.25,25.18,0.0,0.0,7.43,6.86,1
1105,1105,4/11/2018,Central y Norte,637.57,527.89,22.5,28.66,154.72,117.18,-1
1106,1106,4/11/2018,Pacifico,1230.81,1254.86,14.07,32.97,24.4,15.7,2
1107,1107,4/11/2018,Zona Sur,650.59,670.91,47.03,48.3,62.88,68.46,3
1108,1108,4/11/2018,Caribe,457.96,521.72,0.0,0.0,39.12,46.37,0
1109,1109,4/11/2018,Huetar Norte,30.25,29.17,0.0,0.0,7.43,5.94,1
1110,1110,4/12/2018,Central y Norte,635.07,524.66,22.5,30.83,154.72,121.24,-1
1111,1111,4/12/2018,Pacifico,1230.81,1230.68,14.07,29.67,24.4,22.15,2
1112,1112,4/12/2018,Zona Sur,650.59,679.75,47.03,48.35,62.88,68.84,3
1113,1113,4/12/2018,Caribe,457.96,514.01,0.0,0.0,39.12,32.6,0
1114,1114,4/12/2018,Huetar Norte,30.25,30.66,0.0,0.0,7.43,6.15,1
1115,1115,4/13/2018,Central y Norte,635.07,564.95,22.5,30.64,154.72,112.04,-1
1116,1116,4/13/2018,Pacifico,1228.03,1259.05,14.07,31.02,24.4,37.81,2
1117,1117,4/13/2018,Zona Sur,650.59,678.86,47.03,47.24,62.88,67.26,3
1118,1118,4/13/2018,Caribe,457.96,511.87,0.0,0.0,39.12,44.1,0
1119,1119,4/13/2018,Huetar Norte,30.25,30.2,0.0,0.0,7.43,7.13,1
1120,1120,4/14/2018,Central y Norte,634.85,575.03,22.5,30.6,154.72,108.37,-1
1121,1121,4/14/2018,Pacifico,1221.34,1249.04,14.07,32.52,24.4,36.32,2
1122,1122,4/14/2018,Zona Sur,650.59,668.5,47.03,47.41,62.88,70.08,3
1123,1123,4/14/2018,Caribe,457.96,524.46,0.0,0.0,39.12,56.72,0
1124,1124,4/14/2018,Huetar Norte,30.25,30.7,0.0,0.0,7.43,7.31,1
1125,1125,4/15/2018,Central y Norte,633.45,569.61,22.5,30.77,154.72,100.27,-1
1126,1126,4/15/2018,Pacifico,1221.34,1239.95,14.07,32.57,24.4,18.04,2
1127,1127,4/15/2018,Zona Sur,650.59,632.69,47.03,47.14,62.88,46.07,3
1128,1128,4/15/2018,Caribe,466.34,522.98,0.0,0.0,39.12,31.43,0
1129,1129,4/15/2018,Huetar Norte,30.25,32.35,0.0,0.0,7.43,6.66,1
1130,1130,4/16/2018,Central y Norte,633.45,595.53,22.5,29.18,154.72,98.19,-1
1131,1131,4/16/2018,Pacifico,1219.34,1308.4,14.07,32.99,24.4,19.68,2
1132,1132,4/16/2018,Zona Sur,641.19,655.25,47.03,48.29,62.88,67.79,3
1133,1133,4/16/2018,Caribe,466.34,558.77,0.0,0.0,39.12,46.67,0
1134,1134,4/16/2018,Huetar Norte,30.25,35.25,0.0,0.0,7.43,6.53,1
1135,1135,4/17/2018,Central y Norte,633.45,620.14,22.5,26.26,154.72,102.79,-1
1136,1136,4/17/2018,Pacifico,1219.34,1311.7,14.07,33.33,24.4,28.71,2
1137,1137,4/17/2018,Zona Sur,636.56,669.71,47.03,48.31,62.88,66.46,3
1138,1138,4/17/2018,Caribe,466.34,552.32,0.0,0.0,39.12,34.59,0
1139,1139,4/17/2018,Huetar Norte,30.25,32.16,0.0,0.0,7.43,6.8,1
1140,1140,4/18/2018,Central y Norte,631.21,618.93,22.5,26.39,154.72,102.94,-1
